T,Smoothed_Pro
3302,1.0210943338754259e-06
3303,1.020930425577372e-06
3304,1.0207669132478422e-06
3305,1.0206037973333618e-06
3306,1.020441078279593e-06
3307,1.0202787565313338e-06
3308,1.0201168325325184e-06
3309,1.0199553067262169e-06
3310,1.0197941795546356e-06
3311,1.0196334514591173e-06
3312,1.0194731228801406e-06
3313,1.0193131942573199e-06
3314,1.0191536660294068e-06
3315,1.018994538634288e-06
3316,1.0188358125089861e-06
3317,1.0186774880896616e-06
3318,1.0185195658116092e-06
3319,1.0183620461092605e-06
3320,1.0182049294161831e-06
3321,1.0180482161650815e-06
3322,1.017891906787795e-06
3323,1.0177360017152997e-06
3324,1.0175805013777082e-06
3325,1.0174254062042688e-06
3326,1.017270716623366e-06
3327,1.0171164330625197e-06
3328,1.0169625559483878e-06
3329,1.0168090857067624e-06
3330,1.0166560227625726e-06
3331,1.0165033675398837e-06
3332,1.0163511204618973e-06
3333,1.01619928195095e-06
3334,1.0160478524285161e-06
3335,1.015896832315205e-06
3336,1.0157462220307622e-06
3337,1.0155960219940697e-06
3338,1.015446232623146e-06
3339,1.015296854335145e-06
3340,1.015147887546357e-06
3341,1.0149993326722085e-06
3342,1.0148511901272618e-06
3343,1.0147034603252162e-06
3344,1.014556143678906e-06
3345,1.0144092406003025e-06
3346,1.0142627515005125e-06
3347,1.0141166767897795e-06
3348,1.0139710168774828e-06
3349,1.0138257721721379e-06
3350,1.0136809430813962e-06
3351,1.0135365300120457e-06
3352,1.01339253337001e-06
3353,1.0132489535603499e-06
3354,1.0131057909872604e-06
3355,1.0129630460540749e-06
3356,1.0128207191632609e-06
3357,1.0126788107164235e-06
3358,1.0125373211143033e-06
3359,1.0123962507567767e-06
3360,1.012255600042857e-06
3361,1.0121153693706931e-06
3362,1.0119755591375702e-06
3363,1.01183616973991e-06
3364,1.0116972015732695e-06
3365,1.0115586550323425e-06
3366,1.0114205305109585e-06
3367,1.0112828284020833e-06
3368,1.0111455490978193e-06
3369,1.0110086929894043e-06
3370,1.0108722604672127e-06
3371,1.0107362519207547e-06
3372,1.010600667738677e-06
3373,1.0104655083087619e-06
3374,1.0103307740179286e-06
3375,1.0101964652522315e-06
3376,1.010062582396862e-06
3377,1.009929125836147e-06
3378,1.00979609595355e-06
3379,1.0096634931316703e-06
3380,1.0095313177522436e-06
3381,1.0093995701961412e-06
