T,Pro
53605,9.55096294567843e-06
53606,9.551182469402078e-06
53607,9.55140164294338e-06
53608,9.551620463613807e-06
53609,9.551838928724833e-06
53610,9.552057035587927e-06
53611,9.552274781514566e-06
53612,9.55249216381622e-06
53613,9.55270917980436e-06
53614,9.55292582679046e-06
53615,9.553142102085988e-06
53616,9.553358003002423e-06
53617,9.553573526851231e-06
53618,9.55378867094389e-06
53619,9.554003432591864e-06
53620,9.554217809106636e-06
53621,9.554431797799672e-06
53622,9.554645395982443e-06
53623,9.554858600966424e-06
53624,9.555071410063087e-06
53625,9.555283820583903e-06
53626,9.555495829840343e-06
53627,9.555707435143886e-06
53628,9.555918633805996e-06
53629,9.556129423138149e-06
53630,9.556339800451822e-06
53631,9.556549763058477e-06
53632,9.556759308269592e-06
53633,9.556968433396641e-06
53634,9.557177135751093e-06
53635,9.557385412644423e-06
53636,9.557593261388098e-06
53637,9.557800679293597e-06
53638,9.558007663672384e-06
53639,9.55821421183594e-06
53640,9.558420321095733e-06
53641,9.558625988763239e-06
53642,9.558831212149924e-06
53643,9.559035988567262e-06
53644,9.559240315326728e-06
53645,9.559444189739794e-06
53646,9.559647609117927e-06
53647,9.559850570772604e-06
53648,9.560053072015298e-06
53649,9.560255110157483e-06
53650,9.560456682510627e-06
53651,9.5606577863862e-06
53652,9.560858419095682e-06
53653,9.561058577950537e-06
53654,9.561258260262241e-06
53655,9.561457463342266e-06
53656,9.561656184502087e-06
53657,9.561854421053173e-06
53658,9.562052170306997e-06
53659,9.562249429575031e-06
53660,9.562446196168747e-06
53661,9.562642467399623e-06
53662,9.562838240579119e-06
53663,9.563033513018717e-06
53664,9.563228282029886e-06
53665,9.563422544924099e-06
53666,9.563616299012828e-06
53667,9.563809541607543e-06
53668,9.564002270019722e-06
53669,9.564194481560832e-06
53670,9.56438617354235e-06
53671,9.564577343275745e-06
53672,9.564767988072486e-06
53673,9.564958105244051e-06
53674,9.56514769210191e-06
53675,9.565336745957536e-06
53676,9.565525264122398e-06
53677,9.565713243907973e-06
53678,9.565900682625729e-06
53679,9.566087577587141e-06
53680,9.566273926103681e-06
53681,9.566459725486823e-06
53682,9.566644973048036e-06
53683,9.56682966609879e-06
53684,9.567013801950566e-06
53685,9.567197377914828e-06
53686,9.56738039130305e-06
53687,9.567562839426706e-06
53688,9.567744719597266e-06
53689,9.567926029126205e-06
53690,9.568106765324997e-06
53691,9.568286925505108e-06
53692,9.568466506978015e-06
53693,9.56864550705519e-06
53694,9.5688239230481e-06
53695,9.569001752268221e-06
53696,9.569178992027029e-06
